consumer_id,timestamp,voltage_v,current_a,power_factor,energy_consumption_kwh,peak_load_kw,theft_label,hour_of_day,meter_reading_kwh,anomaly_score
7990595903,2025-07-14T14:31:52.156Z,213.7,9,0.91,6.69,0.65,0,6,8096.16,93
4985488988,2025-10-17T02:26:04.214Z,225.8,14.46,0.62,11.52,1.96,1,8,7412.52,44.8
2918293478,2026-02-13T22:50:21.906Z,225.9,24.42,0.7,2.12,1.03,0,18,213.78,57.5
4916077187,2025-11-05T21:08:56.346Z,239.9,56.13,0.6,10.13,0.76,0,13,3725.98,49
5780402824,2025-12-21T20:49:03.821Z,242.1,12.97,0.67,3.1,0.21,0,4,825.88,39.8
1460233354,2025-11-27T17:06:29.662Z,238.2,57.09,0.87,3,2.21,1,16,9866.83,52.2
7383690326,2026-03-16T07:39:09.895Z,248.6,9.23,0.62,9.06,5,0,23,2190.49,21.5
0999179139,2025-08-25T23:36:45.669Z,219.9,3.39,0.99,3.65,4.77,1,2,3702.34,41.4
1944101009,2025-08-21T19:30:01.167Z,240,30.89,0.64,0.85,3.01,1,8,3092.7,27.8
3373377005,2026-02-22T05:01:33.428Z,212.8,25,0.89,0.72,3.89,0,20,2643.24,35.9
5496385585,2025-07-19T10:05:26.364Z,248.4,21.58,0.66,2.59,5.81,1,21,680.83,82.2
1203061343,2026-05-27T08:46:47.210Z,241.7,21.76,0.84,7.29,4.45,1,2,2597.54,90.9
5503606271,2025-08-19T02:28:18.053Z,216.2,37.25,0.76,9.13,1.44,1,15,182.34,32.1
8819983589,2025-12-03T08:04:04.082Z,242.7,23.16,0.95,0.39,4.8,0,23,1487,3.8
3926759415,2026-04-10T18:49:42.689Z,247.7,18.71,1,1.46,0.49,0,2,5456.56,64.1
1646435056,2025-10-05T13:43:30.801Z,231.7,23.69,0.88,10.41,4.55,0,11,5290.91,41.1
0704514181,2025-07-01T12:14:55.926Z,236.4,40.62,0.94,6.7,3.01,0,23,8572.81,66.2
2933372843,2026-04-21T10:07:47.525Z,212.2,40.29,0.79,3.35,2.38,0,2,3272.33,15.8
3337581493,2026-02-16T01:45:36.859Z,237.1,11.57,0.72,3.95,1.24,1,11,556.83,38.6
1837491806,2025-07-18T06:59:21.932Z,216.9,0.24,0.69,10.61,2.94,1,17,5840.79,73.9
9096883255,2025-12-27T03:59:50.611Z,225.5,54.18,0.88,10.24,5.04,1,8,888.14,5
4735082794,2025-07-13T13:16:14.332Z,230,3.6,0.94,10.5,4.07,1,9,1766.8,18.6
0747712695,2025-12-29T02:43:35.357Z,231.4,38.01,0.79,5.31,3.24,1,8,3750.29,40.3
6924917224,2026-04-16T00:59:21.481Z,234.5,2.65,0.71,0.95,1.31,0,10,8541.46,53.7
5549981020,2026-03-11T18:37:49.265Z,243.3,35.76,0.69,9.97,0.86,0,19,3801.89,69.3
2580972525,2025-12-30T20:36:07.767Z,228.2,40.79,0.98,6.81,1.53,0,12,1202.28,94.9
1357993743,2025-11-29T08:16:21.054Z,241.1,51.1,0.69,6.53,0.41,1,6,648.46,40.7
2281970786,2026-02-01T03:55:11.624Z,230.6,19.38,0.83,11.04,4.24,0,18,678.27,79.7
5852981889,2025-10-07T20:39:16.839Z,230,31.24,0.74,6.94,5.47,0,8,9951.94,35
6224684575,2025-07-24T02:46:16.525Z,225.5,20.69,0.95,4.24,5.66,1,22,5399.51,36.6
5685970489,2026-01-03T07:28:09.472Z,225.7,26.04,0.71,7.56,4.94,1,9,1488.94,18.8
0578511137,2025-11-14T14:11:12.243Z,239.7,16.8,0.95,11.24,1.34,0,19,5934.55,17.7
2165354746,2026-01-13T17:37:36.997Z,242.4,36.2,0.92,4.15,0.7,0,21,394.87,11.3
8718908260,2026-03-29T09:47:25.252Z,234.1,17.76,0.95,8.99,5.47,0,13,770.51,24
5389247709,2026-05-03T07:09:33.330Z,236.5,11.64,0.89,2.18,1.66,0,3,2642.92,16.7
5680527548,2025-12-10T08:41:05.368Z,219,17.6,0.89,11.92,2.15,0,1,8158.1,46.4
5909692003,2025-08-01T03:43:52.805Z,221.7,11.19,0.7,1.43,5.73,0,12,4991.49,84.9
2135039677,2025-10-19T03:42:02.462Z,223.9,14.83,1,11.93,0.76,1,20,8177.27,43.1
8072293677,2026-01-11T04:03:33.164Z,230.1,4.73,0.62,2.45,4.6,1,16,5056.03,63.3
5244264992,2026-05-12T21:25:12.813Z,237.1,29.46,0.65,9.26,2.18,0,21,7970.35,92.2
3652271730,2026-01-04T07:32:31.069Z,243.7,5.6,0.72,2.01,1.13,0,0,8017.57,79.7
3663206275,2026-01-15T09:31:28.669Z,216,14.12,0.99,11.36,1.9,0,23,1108.31,51.1
8430487123,2025-08-10T02:21:40.604Z,239.3,44.17,0.65,5.36,3.99,0,2,2966.16,27.1
5551336664,2026-06-13T14:24:01.055Z,241.2,53.53,1,4.84,3.78,0,17,8355.37,61
7374286416,2026-05-05T00:02:54.326Z,235.7,13.3,0.76,8.61,5.95,1,3,4813.99,12.5
5181749948,2025-11-21T17:15:25.691Z,245.4,21.69,0.75,1.71,1.4,1,21,3050.3,94.9
6838116460,2026-03-15T12:32:31.712Z,222.9,13.44,0.93,5.21,2.42,0,13,8124.89,59.3
8743060980,2025-12-13T18:53:56.424Z,215.6,1.92,0.81,4.09,1.64,1,11,4494.66,30.8
2156002063,2026-04-07T23:24:06.289Z,225.3,25.67,0.9,9.83,1.26,0,3,1194.36,91.6
7293161258,2026-02-23T20:07:56.190Z,210.8,37.11,0.9,2.16,5.13,1,21,5987.87,19.5
9902407716,2026-01-30T09:31:01.543Z,233.7,3.77,0.84,2.27,2.03,1,19,5295.15,75.4
7030601157,2026-01-31T07:16:46.795Z,230.2,10.24,0.75,10.53,2.78,0,2,3406.67,77.5
5889750150,2025-12-13T01:56:16.730Z,222,47.61,0.7,1.99,1.7,0,5,2975.36,10.6
4027973237,2025-09-09T20:23:21.939Z,216,47.57,0.61,9,2.96,0,13,5032.03,76
9452952578,2026-02-04T15:24:30.712Z,215.1,36.96,0.82,10.92,4.71,1,1,5351.35,75.6
7064080218,2025-12-05T15:15:22.087Z,235,23.43,0.89,3.76,5.11,1,18,6473.54,51.5
5401292231,2026-03-21T23:40:22.930Z,239.1,29.5,0.63,9.64,1.5,0,8,1837.17,4
5100146224,2026-02-10T09:38:50.453Z,220.9,33.67,0.98,10.8,5.02,0,17,3074.26,50.3
2378953006,2025-10-06T02:23:04.858Z,235.3,57.94,0.68,4.03,0.66,1,23,9871.76,61.8
0937558894,2026-05-19T13:39:27.662Z,231.1,3.35,0.72,5.93,0.37,0,10,4663.44,97
9419306019,2026-02-07T10:52:53.083Z,240.2,17.74,0.67,6.52,1.17,1,17,3346.44,52.7
8582558787,2025-12-28T10:29:23.187Z,222.1,53.38,0.88,10.47,5.67,0,13,7501.3,78.8
2577803127,2025-08-06T01:05:53.808Z,213.7,19.43,0.93,0.28,4.06,0,7,4030.31,74.4
9259706768,2025-09-20T03:45:39.432Z,246.6,42.72,0.88,10.62,1.61,1,1,1943.72,46.9
9298648417,2025-12-21T07:44:40.672Z,231.2,31.53,0.79,1.95,5.56,0,18,5208.26,59.6
0728091517,2026-01-07T03:51:55.463Z,247.6,41.12,0.82,2.39,5.8,1,15,1806.31,98.9
3560417323,2025-07-07T13:17:48.794Z,214.1,31.92,0.76,11.73,5.48,0,22,7555.99,37.4
0248659708,2026-04-15T04:59:34.623Z,223.6,39.59,0.6,6.42,3.48,1,2,8412.25,96
6767730205,2026-04-22T06:04:54.933Z,241.6,44.25,0.76,7.24,3.63,1,15,4078.47,20.4
2683501744,2026-04-06T03:41:54.703Z,213.2,33.16,0.72,5.93,0.95,0,7,8065.97,20.7
5615087262,2025-07-23T13:00:31.553Z,233.9,11.22,0.89,4.82,4.75,0,18,3948.11,7.4
0252263322,2025-09-22T11:37:23.271Z,221.4,29.06,0.88,4.72,3.52,0,12,1796.6,86.2
3417602485,2026-05-01T21:05:18.837Z,249.6,29.07,0.65,11.59,5.68,0,10,2381.68,29.1
1727659884,2026-06-01T00:15:38.949Z,240.3,26.77,0.73,3.62,0.74,1,2,5431.16,12.4
4786835803,2026-03-08T23:55:39.097Z,228.6,49.16,0.81,4.4,0.82,1,7,594.55,39.1
0774931202,2025-10-24T22:32:47.938Z,226.8,59.2,0.81,5.31,4.53,0,5,5755.58,57.9
6716807261,2025-07-18T11:33:45.040Z,238.2,19.66,0.73,9.75,1.03,1,12,8780.17,57.5
9472404202,2026-04-07T02:46:47.276Z,249.9,59.86,0.66,2.56,1.31,0,15,8329.75,55.1
9390397704,2025-10-05T14:37:18.656Z,249.7,31.72,0.8,3.05,4.93,1,10,1716.11,20.7
0701637938,2025-11-09T23:02:09.500Z,229.6,26.44,0.72,10.99,5.61,0,10,452.25,17.4
4582392288,2025-11-11T15:13:20.213Z,221,11.58,0.85,3.6,1.01,0,20,6206.44,13.9
2185618209,2025-07-16T23:35:37.001Z,231.7,56.72,0.94,11.76,5.52,1,6,171.49,92.3
9158467797,2025-09-28T11:46:28.038Z,249,15.49,0.93,0.58,2.88,0,20,9580.19,0.7
3267784199,2026-01-30T19:10:03.562Z,211.4,17.9,0.91,10.22,3.34,1,6,609,35.1
4889496609,2025-07-29T02:47:23.398Z,249.4,6.96,0.87,10.63,1.53,0,21,7413.3,41.2
6429946870,2026-02-17T07:06:21.364Z,232.5,56.75,0.74,10.77,4.21,1,11,7387.28,43.2
8590959409,2025-12-24T03:55:46.487Z,228.8,52.09,0.77,5.89,1.67,0,13,4676.94,6.2
3507470582,2025-12-15T10:38:07.499Z,242.4,46.38,0.82,7.04,1.56,0,14,9682.97,92.4
9043684822,2025-10-27T13:22:50.223Z,223.9,19.03,0.74,6.9,4.9,0,18,2041.62,38.2
1021795678,2025-12-18T09:43:58.802Z,228.4,30.67,0.82,9.08,1.26,1,16,9726.23,65.1
9894712309,2026-03-31T06:23:12.865Z,210.9,25.81,0.84,8.07,1.7,0,18,5152.61,63.5
6374790382,2025-07-29T05:45:04.540Z,217.3,58.7,0.95,8.2,0.97,0,1,9318.56,70.4
7887949853,2026-01-26T04:22:54.600Z,248.7,15.74,0.71,4,0.84,1,2,804.37,73.4
1405813923,2026-02-05T21:00:55.683Z,249.6,51.65,0.7,11.12,5.64,0,18,5234.72,1.5
7716232834,2026-02-17T05:05:00.641Z,239.6,4.08,0.97,1.16,5.04,0,21,456.55,96.9
5830665148,2025-08-14T04:53:22.378Z,244.3,43.82,0.62,9.95,2.48,1,15,3081.16,96.2
9353085214,2026-04-03T14:15:17.848Z,216.4,19.55,0.66,4.68,2.3,0,23,8078.92,26
6302119772,2025-10-02T18:12:03.562Z,217.8,48.9,0.96,4.85,1.83,1,8,6979.09,17.7
3175433193,2025-09-13T00:38:26.563Z,234.5,46.62,1,8.54,1.26,1,12,1972.77,9.9
4559115223,2025-10-29T04:09:46.126Z,243.3,30.19,0.67,4.84,3.3,1,18,3365.6,65
8258149145,2026-03-22T00:59:01.400Z,235.5,8.02,0.99,4.01,1.97,0,15,852.84,6
8258705561,2026-01-27T11:36:40.809Z,241.1,6.39,0.88,2.12,5.01,0,13,3253.26,12
2104596749,2025-10-17T03:52:21.777Z,242.4,8.93,0.95,0.47,6,0,17,2885.05,90.5
8484378795,2025-12-31T23:39:48.643Z,227.7,7.26,0.8,6.46,5.78,1,16,6516.11,99.8
9636110547,2025-09-06T06:04:01.926Z,249.4,9.53,0.78,2.92,4.22,1,18,8718.46,39.3
5302948250,2025-12-16T23:43:16.213Z,227,34.94,0.61,7.86,1.2,1,3,1959.87,43.3
9121195589,2025-12-06T00:51:41.141Z,237.5,3.83,0.66,10.42,0.61,0,2,6013.54,15.2
7761538376,2025-08-09T16:13:08.295Z,247.1,59.35,0.73,2.49,0.18,1,8,4696.4,3.8
0318695757,2026-02-07T15:39:56.237Z,244.9,21.19,0.71,10.42,4.02,0,17,7345.74,81.7
5947767907,2026-03-27T19:33:58.085Z,233.5,38.54,0.92,2.96,4.44,0,8,4360.7,1.6
2979573269,2026-05-07T10:03:33.736Z,211.6,13.4,0.88,0.56,2.47,1,5,422.95,24.4
4781250686,2025-10-20T08:52:17.732Z,233.2,40.45,0.98,8.62,4.03,1,20,9140.2,59.9
2918048081,2025-06-30T21:41:22.355Z,229.7,14.61,0.75,7.74,4.55,1,21,6140.66,1.2
5487597527,2026-03-21T08:23:48.675Z,232.2,42.73,0.73,5.91,1.83,0,21,9328.5,57.9
8375197463,2025-07-07T22:15:18.632Z,220.5,15.59,0.84,6.31,1.2,1,16,4141.16,99.3
1594049514,2026-04-15T12:54:43.276Z,231.5,57.99,0.68,3.96,4.52,1,12,3119.54,18.2
1908736639,2025-07-16T00:06:53.655Z,245.2,4.09,0.79,4.38,2.05,0,10,4984.27,0.7
1421527267,2026-06-14T00:55:57.782Z,240.2,36.42,0.81,6.86,0.56,1,21,9096.01,76.6
8975343181,2025-12-13T13:52:45.244Z,222.4,59.22,0.77,5.42,1.22,0,11,8553.18,34.9
6255500501,2025-11-15T08:05:10.708Z,245.8,41.34,0.86,10.34,2.87,1,12,7463.03,84.5
5750220634,2025-08-31T10:44:26.806Z,240.4,51.43,0.96,6.37,4.81,1,2,5298.36,41.1
0055911635,2026-02-18T20:44:36.704Z,233.6,59.17,0.64,0.42,4.6,0,16,7404.59,84.3
0489555955,2026-01-24T10:36:21.874Z,226,31.74,0.99,9.31,1.79,0,10,4427.46,35.2
3310442423,2026-03-09T13:14:05.638Z,223.7,43.89,0.92,1.07,2.21,1,16,581.31,4.8
1278098971,2025-08-01T00:11:23.795Z,213,29.77,0.95,3.78,5.16,1,18,2003.75,31.7
7940800832,2026-05-17T05:30:47.000Z,242.2,35.81,0.69,11.06,1.72,0,10,5887.59,13.7
8277518983,2025-07-13T07:25:54.603Z,220.4,24.35,0.8,10.77,4.66,0,0,786.96,82
1182631238,2026-04-15T07:10:09.326Z,249,30.19,0.68,2.39,4.03,1,12,6989.36,21.3
0037971997,2026-05-22T03:23:22.801Z,213.4,46.06,0.72,9.27,5.13,0,8,5159.63,14.4
9448087657,2025-08-13T01:50:01.562Z,213,40.34,0.87,10.88,4.98,0,0,1548,70.4
6413188337,2026-01-24T14:45:30.374Z,217.2,37.21,0.77,1.59,0.66,1,14,8357.57,27.2
2634587307,2026-05-26T04:09:13.086Z,211.9,11.8,0.71,7.29,0.94,1,2,3579.3,74.3
3569377653,2026-03-21T13:01:20.785Z,244.7,41.41,0.62,5.31,0.77,1,6,2155.65,59.5
0744009391,2025-10-24T01:35:00.356Z,245.9,50.93,0.75,2.88,3.83,0,22,5848.18,23.3
6226185242,2025-10-20T17:05:47.968Z,241.5,52.47,0.7,10.74,4.67,0,1,9640.46,28.2
1652141334,2025-11-06T13:25:07.176Z,246.7,5.67,0.7,7.2,4.6,0,16,9985.7,74.2
5030366438,2026-06-15T02:53:02.081Z,230.9,3.25,0.85,0.96,3.35,0,9,1329.51,60.5
7232055845,2025-12-06T01:22:30.382Z,239.9,34.91,0.81,2.95,3.05,1,16,1220.05,74.5
7671821459,2026-04-30T21:45:48.822Z,234.4,26.02,0.79,0.57,5.95,0,19,9556.45,55.3
2670482480,2026-05-08T07:39:11.777Z,245.8,59.46,0.96,11.16,5.98,0,8,5947.44,63.4
3715857685,2026-01-12T11:50:09.814Z,211.8,36.34,0.63,2.3,3.99,1,11,9648.84,10.4
5763187726,2025-07-13T20:30:01.310Z,215,40.51,0.8,1.09,1.82,1,21,996.19,75.3
3378624343,2025-09-13T07:26:00.058Z,245.4,19.82,0.9,3.18,3.55,0,17,831.15,42.4
0132109306,2025-08-16T05:12:57.610Z,243.6,39.55,0.82,9.99,3.17,1,4,5881.47,92
2426968981,2025-08-11T10:08:50.258Z,215,52.5,0.74,2.88,1.13,0,9,1076.54,50.8
5131268837,2026-03-23T02:29:57.212Z,224.5,54.45,0.99,3.62,5.06,1,4,7167.13,97.9
3417901692,2025-12-24T01:50:53.728Z,217.1,9.32,0.92,10.51,2.8,0,12,1709.96,16.8
1224812711,2025-06-24T22:07:55.638Z,210.6,53.16,0.66,4.92,5.81,1,12,7789.87,80.8
2867755256,2025-11-08T20:50:13.097Z,215.3,31.71,0.79,10.84,4.33,0,23,3871.24,51
8135906864,2026-05-31T20:05:36.742Z,244.8,25.26,0.78,10.97,0.71,1,2,9759.02,53.7
4961209215,2025-11-18T16:59:36.592Z,217.7,15.37,0.69,5.11,4.02,0,2,1846.12,27.1
4322755310,2025-09-13T21:09:01.693Z,241.6,0.24,0.95,0.1,3.86,1,20,6164.84,87
7304049033,2025-11-27T06:29:31.583Z,246.9,2.73,0.85,6.13,1.98,1,5,9598.82,25.7
8849912602,2026-05-29T13:32:49.604Z,225.7,45,0.62,1.69,5.12,1,15,636.17,9.4
1758984185,2025-11-04T09:49:41.766Z,224,42.35,0.78,3.99,3.25,1,21,2271.65,77.8
3926240385,2025-09-28T12:53:09.430Z,239.6,51.47,0.86,1.14,1.78,0,8,6311.97,3.4
6714306371,2026-05-17T21:42:46.085Z,246.3,2.72,0.63,2.38,1.21,1,9,5142.44,58.8
7068662043,2025-08-19T00:05:23.841Z,240.6,41.76,0.62,9.04,5.38,0,1,3688.19,20.4
3221929639,2025-11-18T05:58:42.721Z,237.1,20.75,0.69,0.76,3.06,0,13,6649.34,7.7
9103866946,2025-06-30T13:42:15.819Z,210.2,1.95,0.96,1.4,0.72,1,9,9298.2,60.9
8037202218,2026-05-03T17:04:19.343Z,232.3,1.26,0.96,4.61,4.01,0,16,636.93,72.7
9019196587,2025-07-13T11:50:35.369Z,213.7,9.23,0.69,9.62,2.64,1,19,1355.45,36
2047198426,2025-10-29T06:56:36.542Z,219.3,1.55,0.91,1.28,0.72,0,20,4809.4,55.2
6450930778,2026-01-02T06:17:45.598Z,247.4,57.89,0.94,6.13,1.34,0,12,4387.45,21.1
9586356438,2025-10-18T04:19:41.798Z,236.8,13.93,0.63,9.17,5.61,1,22,8600.38,8.1
9414831129,2025-09-10T05:55:03.040Z,224.8,11.16,0.98,0.75,2.06,0,20,9801.97,28
5634635808,2025-11-08T11:40:04.969Z,246.3,55.85,0.82,9.11,5.42,0,0,7277.5,47.8
6764524833,2025-11-29T18:58:45.306Z,249,35.62,0.61,6.49,2.27,1,1,1804.48,95.9
8334738214,2026-03-26T09:22:43.668Z,229.2,14.76,0.68,5.97,2.89,1,6,7323.63,69.3
0783027949,2026-03-13T05:01:57.184Z,217.2,41.97,0.74,10.64,1.51,1,10,6234.84,29.2
9110701327,2025-08-26T14:57:23.284Z,229.6,21.46,0.83,1.3,1.49,1,12,2459.99,0.5
6136310143,2025-06-26T09:03:37.490Z,213.6,32.25,0.73,4.31,5.78,0,21,5315.97,33.1
0439094697,2025-06-24T18:52:11.984Z,223.1,58.51,0.62,5.85,2.58,1,12,3872.68,83.3
6682921176,2026-03-12T08:14:29.887Z,246,32.08,0.6,9.35,1.21,1,2,2546.86,29.5
7773845384,2025-08-17T02:13:59.945Z,223.9,52.86,0.95,11.55,3.3,1,1,1572.42,11
5833976087,2025-09-03T23:08:26.318Z,223,55.15,0.85,4.82,3.02,0,0,9332.91,14
2438214262,2026-04-19T01:18:34.973Z,244.2,10.04,0.85,7.1,4.07,1,0,2927.41,2.6
0220348614,2026-05-19T18:47:56.423Z,232.5,26.62,0.99,3.36,4.87,1,9,7860.56,99.4
5818466726,2026-02-18T17:45:15.281Z,234,26.63,0.66,7.57,0.56,0,15,5918.21,93.3
4504317793,2026-03-04T23:08:34.412Z,228.4,25.96,0.94,11.72,0.79,0,0,4635.87,15.3
7376676366,2026-04-26T17:52:27.221Z,230.1,35.91,0.71,4.36,1.74,0,22,2568.38,74.8
7132350351,2026-01-27T12:44:42.180Z,212.8,23.4,0.92,1.54,3.89,1,3,9927.7,88.5
8261341816,2025-12-21T20:20:56.101Z,219,27.31,0.65,6.02,5.09,1,20,203.78,39.5
3137549008,2026-01-01T23:03:52.152Z,211.8,35.33,0.6,0.14,5.61,1,13,631.18,47.5
2361895972,2025-08-06T12:14:33.024Z,214.3,32.79,0.85,3.05,4.4,1,12,8091.99,7
3414952990,2026-03-21T15:09:09.047Z,217.3,17.58,0.99,8.06,5.13,0,16,3859.31,80
8452276358,2025-10-06T10:15:56.384Z,237.3,32.1,0.73,2.38,4.37,0,21,7501.3,15.8
2717492688,2026-05-25T12:05:39.735Z,244.9,9.36,0.65,9.11,3.48,1,17,7729.11,9.1
9560317146,2025-07-14T07:06:01.187Z,229.5,17.36,0.74,10.42,0.65,0,10,6464.81,73.5
9476142747,2026-01-03T04:20:42.681Z,228.8,55.13,0.76,4.44,4.71,1,11,8352.77,13.6
7832373619,2026-05-04T17:18:13.128Z,240.8,22.99,0.68,11.11,1.32,0,6,4418.69,8.3
9265639333,2026-06-10T04:45:07.990Z,220.4,16.76,0.68,1.15,5.5,0,2,4501.62,67.7
1789248082,2026-06-03T05:16:56.579Z,245.2,38.27,0.77,10.37,4.88,1,2,6562.31,8.6
6138617079,2025-10-18T19:13:23.632Z,235.3,11.05,0.97,2.74,1.66,0,12,1034.21,91.9
2616728733,2025-08-06T19:23:08.406Z,235.8,5.66,0.98,4.86,3.6,1,20,2270.28,80
0782465675,2026-04-09T12:40:32.351Z,221,50.48,0.82,5.2,3.74,0,13,1673.63,25.9
4435944090,2025-07-08T17:19:19.590Z,215.2,27.1,0.79,6.53,2.12,1,18,8673.54,55.1
8556840660,2025-06-20T02:14:38.255Z,224.3,58.09,0.8,3.16,0.42,1,11,9996.38,5.2
5496879126,2025-08-09T23:06:47.155Z,240.6,5.36,0.69,4.69,2.6,0,15,6547.43,69.5
0236710321,2025-08-14T03:04:56.053Z,223.7,57.03,0.77,4.69,2.32,1,10,9305.41,75
6597248969,2025-06-24T01:58:04.302Z,248.8,54.68,0.9,7.34,4.47,0,2,4464.57,84.1
8665955009,2026-05-14T05:07:14.507Z,232.2,30.77,0.65,10.81,2.97,0,16,5147.61,51
4971539944,2025-09-02T13:44:47.890Z,248.3,51.18,0.72,1.92,4.69,1,17,2161.93,0.1
5906889763,2026-03-29T07:00:58.240Z,228.2,4.79,0.66,7.92,0.14,0,17,6872.84,57.8
1157286230,2025-10-18T17:24:17.779Z,249.3,9.66,0.6,10.05,1.83,1,16,8862.14,50
1379348502,2026-06-07T10:41:48.435Z,219.4,12.26,0.7,7.65,0.82,0,3,7983.95,35
3615227311,2025-10-08T07:10:48.225Z,220.4,37.45,0.82,4.23,3.39,0,16,9281.78,31.7
5863940934,2025-07-13T07:53:31.105Z,238.7,34.28,0.91,11.1,5.2,1,20,5664.78,20.8
7936876098,2025-07-21T21:42:41.581Z,222.4,27.15,0.98,6.61,3.79,1,13,1173.92,45.6
4466768382,2026-04-26T04:24:20.609Z,249.2,3.45,0.89,1.17,0.69,1,20,8603.14,22.4
3358910275,2025-11-23T01:49:06.940Z,211.6,14.1,0.88,4.99,4.67,1,12,6741.04,94
4891931556,2025-09-03T08:27:33.385Z,228.8,24.52,0.78,1.53,4.84,1,2,3128.3,12.2
1838108868,2025-08-21T20:47:49.910Z,235.2,7.4,0.83,9.34,1.99,1,6,1424.59,45
3795286872,2025-12-26T00:24:50.237Z,246.3,36.82,0.85,0.82,4.13,0,15,7729.03,35.8
2178548925,2026-02-01T01:18:57.724Z,249.9,57.12,0.76,1.23,0.72,1,18,7994.82,99.2
0336223791,2025-07-28T19:49:03.470Z,232.1,57.01,0.76,3.06,4.2,0,23,1086.64,44.8
3059123482,2026-04-08T11:53:00.345Z,232.5,56.72,0.85,10.99,2.61,1,7,323.38,23.5
1381687805,2026-05-09T18:40:12.079Z,216.3,34.26,0.82,10.21,2.96,0,9,4431.53,52.7
7226544536,2025-10-06T19:39:19.729Z,237.8,35.36,0.86,10.98,3.44,0,18,2878.36,5.5
4578659171,2025-08-05T11:13:35.523Z,243.2,19.61,0.77,1.45,3.74,1,21,8308.82,27.6
8796854899,2025-10-24T10:25:32.528Z,229,27.23,0.99,11.5,4.91,0,18,6721.22,64.8
4211023525,2026-04-22T14:03:18.489Z,223.1,11.96,0.81,6.08,0.62,0,14,6330.75,50.2
2808207208,2025-09-21T00:00:18.350Z,213.9,39.35,0.93,9,1.71,1,8,928.88,50.5
2724807092,2026-05-12T14:52:52.744Z,236.9,0.24,0.91,2.81,0.46,1,19,430.75,6.7
9825966325,2025-12-14T21:24:21.520Z,238.9,55.3,0.92,4.94,3.5,1,9,5685.29,47
6977022107,2026-02-15T12:57:06.732Z,215.9,5.25,1,9.62,5.28,0,4,9790.55,11.6
7996478824,2026-04-28T05:12:26.230Z,211.1,39.26,0.92,2.69,2.22,0,5,1737.94,62.8
0278720362,2025-08-28T10:11:05.918Z,247.7,12.47,0.88,1.11,3.07,1,23,8188.08,37.5
2750542814,2025-10-20T17:29:37.996Z,235.4,53.86,0.64,2.73,1.76,0,20,7781.25,56.5
9340848649,2025-11-12T14:35:47.235Z,242.7,50.65,0.88,1.82,3.02,0,22,8809.34,58.1
6309823180,2025-12-29T20:27:03.384Z,231.2,18.33,0.8,7.82,4.28,1,9,6449.87,75.2
5908130803,2025-11-06T16:36:56.824Z,245.1,35.49,0.94,4.6,5.37,0,6,8314.83,88.9
1299277117,2026-04-16T01:44:08.778Z,213.2,42.56,0.79,4.91,5.18,1,16,9810.24,43.6
2014993130,2026-06-14T23:49:42.183Z,239.3,52.71,0.87,9.27,5.94,0,12,1549.9,97.4
7126218345,2026-05-10T11:08:31.069Z,225,3.24,0.7,2.85,5.84,0,18,1742.49,20.1
8548011207,2026-04-17T15:49:09.019Z,222.1,53.77,0.6,6.29,5.45,0,6,5573.97,72.8
4931503375,2026-04-20T04:14:23.155Z,242.2,21.01,0.78,10.76,1.25,0,6,7154.75,54.1
7095697714,2025-10-05T02:22:24.613Z,247.1,39.05,0.86,4.55,0.98,0,18,3358.19,90.9
